h,k,l,2θ (deg),I/I₀,Counts (background corrected)
1,1,0,16.90,14.1,133
1,1,3,18.35,1.1,10
2,0,2,20.10,3.7,35
1,0,8,21.30,1.1,10
2,0,4,21.75,9.7,91
1,0,10,25.70,21.5,203
2,1,1,26.10,3.8,36
2,1,2,26.40,7.6,72
2,1,4,27.70,53.5,504
0,0,12,28.60,1.3,12
3,0,0,29.55,14.2,134
2,0,10,30.95,100.0,942
2,1,8,32.35,22.9,216
3,0,6,32.90,7.5,71
1,1,12,33.40,7.3,69
2,2,0,39.25,79.6,750
2,2,3,35.00,9.8,92
2,1,10,35.50,11.9,112
3,1,1,35.80,4.0,38
2,2,6,37.25,10.1,95
1,3,5,37.75,5.7,54
1,0,16,39.75,13.4,126
4,0,4,40.95,14.1,133
3,0,12,41.55,11.1,105
2,0,16,43.45,8.9,84
3,2,2,43.80,6.4,60
4,0,8,44.40,10.5,99
