Material,Structure,Applied field [T],Peak of ΔSₘ [J kg⁻¹ K⁻¹],Transition temperature [K],Refrigerant capacity [J kg⁻¹]
Gd₅₃Al₂₄Co₂₀Zr₃,a,5,9.4,93,590
Gd₅₅Ni₂₅Al₂₀,a,5,9.76,79,
Gd₅₁Al₂₄Co₂₀Ce₅,a,5,8.85,81,679
Gd₅₁Al₂₄Co₂₀Nb₁Cr₄,a,5,9.48,100,611
Gd₅₁Al₂₄Co₂₀Nb₁B₄,a+c,5,7.98,74–90,504
Gd₄₈Al₂₅Co₂₀Zr₃Er₄,a,5,9.41,84,647
Gd₅₁Al₂₄Co₂₀Zr₄Nb₁,a,5,9.23,91,651
Gd₃₃Er₂₂Al₂₅Co₂₀,a,5,9.47,52,574
Gd₃₀Al₂₅Co₂₀Y₂₀Zr₅,a,5,7.64,37,413
Ho₃₀Y₂₆Al₂₄Co₂₀,a,5,10.76,5.5,241
Dy₅₀Gd₇Al₂₃Co₂₀,a,5,9.77,26,290
Er₅₀Al₂₄Co₂₀Y₆,a,5,15.91,8,423
(Er₀.₇Ho₀.₂Dy₀.₁)₅₅Ni₂₅Al₂₀,a,5,14.02,3,277
Tb₃₆Y₂₀Al₂₄Co₂₀,a+c,5,5.60,30,
Gd₆₀Co₂₆Al₁₄,a,5,10.1,79,557
Gd₃₆Er₂₀Al₂₄Co₂₀,a,5,13.86,,474
Gd₃₆Y₂₀Al₂₄Co₂₀,a,,7.76,,459
Gd₆₀Fe₃₀Al₁₀,a+c,5,3.53,200,754
Gd₇₀Fe₁₅Al₁₅,a+c,5,6.12,170,764
Gd,c,5,9.8,293,
Gd₅Si₂Ge₂,c,5,18.6,276,306
Gd₅Si₂Ge₁.₉Fe₀.₁,c,5,7,276,360
La₀.₈Ca₀.₂MnO₃,c,1.5,5.5,230,66
DyNiAl,c,5,19,256,483
Ni₂Mn₀.₇₅Cu₀.₂₅Ga,c,5,65,308,72
MnFeP₀.₄₅As₀.₅₅,c,5,18.3,306,390
Fe₇₀B₅C₅Si₃Al₅Ga₂P₁₀,a,1.5,1.65,~588,74
Fe₆₀Cr₁₄Cu₁Nb₃Si₁₃B₉,a,3,0.9,226,38
