Formula,Space Group Number,Formation Energy,Volume,Density,Total Magnetization
Ag2F5,2,-1.229926874642856,384.9378322833372,5.361662383872384,0.067997099999999
Ag2S,2,-0.107766265937499,129.0918676734217,6.3750554217582565,0.0009781
AgP15,2,0.002923476897322,684.4103423229539,2.777913859471782,0.0
Al11Cr4,2,-0.150564295466665,222.3447751773958,3.769861958391592,4.9693515
Al11Re4,2,-0.400964897999998,225.2957095146836,7.677282819848147,2e-07
Al12Fe7,2,-0.313315438421051,256.5341747930138,4.626192269489269,12.9199223
Al23B50,2,-0.069090475136986,622.4402187339571,3.097637346739446,4e-07
Al2O3,2,-2.62658644,124.7089447312713,2.7152933524122203,1.2e-06
AlF3,2,-3.8242203412499993,100.50337880493078,2.774964836610843,3.05e-05
AlO3,2,-1.26301225125,118.19793355160706,2.106750624272028,4.0027517
AlO3,2,-1.461529855,229.1618868292065,2.173254669377904,8.0002757
As2S3,2,-0.156509995187498,526.4141283759965,3.104445879796971,0.0
Au3N,2,0.692981135000003,142.42698198817467,14.105062207153113,0.000205399999999
AuCl2,2,-0.317203187500001,319.5461139984167,5.568058520620383,0.0
B17F27,2,-2.234148541079545,1103.3139165042237,2.097264297087262,0.0
B36O5,2,-0.6709425423170721,609.4825347579113,2.556638662614739,0.0037281
BC5,2,0.276473391840276,72.32973215412143,3.253800814147506,0.0006096
BC5,2,2.840328153506944,72.32972777172714,3.253801011292422,6.570000000000001e-05
BF3,2,-2.927657615937501,413.9096651530094,2.176220938590456,0.0
BO3,2,-0.914729523541666,227.4055016308825,1.717724037020057,12.0008587
BOs,2,0.133733942500001,89.71315130190109,14.88461522725515,0.0017001
BaP8,2,-0.309704130238093,406.2458521540358,3.148349600286199,0.0
Bi4O7,2,-1.569201818181821,341.0743732873468,9.229974444804135,0.0
BiB5,2,1.190289018194448,1767.1667876837555,0.988657235169636,1.2975957
BiF5,2,-1.00656246,226.06008974286183,4.465698235464186,0.0047006
BiF5,2,-1.865412124166667,226.0600857896333,4.465698313558138,0.0006435
C13Cl12,2,0.038527733,1059.9421672401463,1.822228048962978,0.000429199999999
C13F7,2,-0.564603623302083,2818.1666943919777,2.044342705541811,2.46e-05
C15Br7,2,0.12402941806818,1640.114556747427,2.9947896956335223,0.000998999999999
C3F5,2,-1.256315028359374,803.8017642196845,2.165416130888376,4.21e-05
C3S8,2,0.180295664902596,573.2589873187926,1.694850675915236,0.0013659
C7F3,2,-0.454336392787498,2308.357711325053,2.029602491598905,0.0001351
C9Cl,2,0.213244470812497,3109.4712679882737,1.839818027614454,7e-07
CCl,2,0.088503048906249,1315.1146936545747,1.91777227584888,0.0
CF2,2,-1.34121427736111,250.0673511335229,1.992409267920244,0.0
Ca8Al3,2,-0.176105388181817,709.3846098773414,1.879996732863107,1.1733147
Ca8In3,2,-0.417590735909091,737.6828932045603,2.994207976109178,1.3068814
CaAs3,2,-0.6725508368750001,187.79114125867983,4.683733353555127,0.0
CaC2,2,-0.113472438333334,194.9893275487349,2.18349505241978,0.0
CaC6,2,0.696990034999998,139.43469690836366,1.335510516703398,6e-07
CaP3,2,-0.7309107334821421,162.34278971854437,2.7207923507511182,0.0
Ce11O20,2,-3.939762349032259,455.8922747485132,6.779455929498095,3.999999899999999
Ce17O32,2,-3.934802147755101,709.113436415626,6.776802461376351,4.0
Ce2Sn3,2,-0.5937691204999981,561.5484528731569,7.52707237349222,7.0351996
Ce5O9,2,-3.957120966071425,415.6137266663477,6.748810387987721,4.0
CeSe2,2,-1.8240800465624991,507.490196979012,5.851152485694201,2.1657937
CeSe2,2,-1.8512599910496768,1292.722447655296,4.97686528764225,0.019266699999999
CeSe2,2,-1.403157878854165,3017.730159333109,2.62396116351273,9.66e-05
CeSe2,2,-1.393281903020831,4509.532643677337,1.7559262490655851,0.000176
CeSe2,2,-1.402099614687498,7734.67057545115,1.023754879126095,9.8e-06
Co15O28,2,-1.08509475116279,470.9993619526045,4.695986603605816,15.0001521
Co17Se20,2,-0.274566292511259,1140.8623394253868,7.51354125796344,9.9846084
Co19Te34,2,-0.172998386132074,1165.0615239633253,7.779365363838764,2.485854
Co27Se32,2,-0.277304364745759,915.967969720697,7.465283784000802,10.3384498
CoN12,2,1.577843695769231,467.5332864370436,1.612569432305313,15.9998509
CoN12,2,5.822058452692308,467.53323018121256,1.612569626337368,0.4571073
CoO2,2,-1.0599715175,134.99703109462388,4.474057803405697,8.2765807
Cr19S30,2,-0.973726733571427,865.8132757626477,3.73965749614984,54.0008475
Cr19S30,2,-0.9737504082653052,869.9327374315668,3.721948798629433,53.9988341
Cr2Se3,2,-0.8029688784062481,406.83785679933794,5.565181266767597,23.9999039
Cr2Se3,2,-0.790605734406248,400.7081022849926,5.650313548342619,0.0044383
Cr3O4,2,-2.154739653571429,156.56919999895874,4.6662457373939485,1.999998
Cr5S8,2,-0.969433726153844,689.794269911827,3.730108942241857,24.0000001
Cr5Te6,2,-0.365740649545452,541.577032880537,6.289101578533218,36.0028709
Cr6O11,2,-2.123403061470588,326.29366251669643,4.966650238187443,27.9999998
Cr8O21,2,-1.202182901551724,443.0188951903003,2.818508781517591,10.0001779
Cr8O21,2,-0.6884980212068971,446.87234915094746,2.7942043154930243,0.2968155
Cr8O21,2,-1.685936004310345,427.1887247242977,2.922953191889481,5.998835
Cr8O21,2,0.362616319827584,446.87234915094746,2.7942043154930243,12.003894
CrN2,2,-0.124097513541665,1194.4424099832045,1.7796943489439672,0.0002542
CrO,2,-1.924840639999999,101.37982724859432,4.454897474864885,0.0
CsHg,2,-0.206870159827587,390.2460868904775,5.676236047115471,3.1e-06
CsS3,2,-0.655204124609374,510.98964781934046,2.9779879273809837,0.0
Cu7Si6,2,2.765699669897436,8059.216641844316,0.12637291856942,6.9174417
Cu9S5,2,-0.177552687165178,415.3199490912191,5.855300080088663,0.0002309
Cu9Se5,2,-0.088991285915178,472.7466066777017,6.791233783825142,0.008170499999999
CuP10,2,-0.063789065887445,942.532633788055,2.630580678955053,0.0
Eu8In3,2,-0.274139874545458,813.7777862627121,6.3671351986123,114.0006528
EuAs3,2,-0.611441359375001,195.17195717764028,6.410479240559732,13.9716307
EuGa,2,-0.541371476250002,211.7681197292472,6.953264250124299,28.24915
Fe10O11,2,-1.490957769047618,455.0635462970136,5.36000726856962,83.9998863
Fe10O11,2,-1.479269533571429,224.47396700335423,5.43302180732747,41.9999607
Fe10O11,2,-0.8233716192857141,224.47394727369615,5.433022284851316,42.0000055
Fe11O12,2,-1.48173293173913,248.9952841598182,5.377099391021433,45.9993484
Fe13O15,2,-1.4855365237499991,303.6833894363142,5.281951338778727,55.9998537
Fe17O18,2,-1.474056338571428,377.9556721781888,5.436285627042804,69.9996337
Fe23O25,2,-1.4789985053125,516.4686557619616,5.4157114538457485,95.9999958
Fe2O5,2,-0.8447807164285711,287.2863301226924,4.4318677038815615,24.0017402
Fe38O39,2,-1.425269673181818,817.9429909710078,5.574941199940421,146.0000004
Fe3Se4,2,-0.070397635624999,109.69335589609103,7.317335355097637,5.2077234
Fe7O8,2,-1.493853144333332,331.91560120287204,5.192107005723737,60.0003671
Fe8O9,2,-1.486613475588236,183.8812343398888,5.334808065625745,34.0000574
Fe9O10,2,-1.502095831052631,205.6335180267732,5.35064290854976,38.0007454
FeO,2,-1.192572768125,81.33221341667618,5.8673151955299385,0.0
Ga31Mo6,2,-0.135912226148648,1317.1193796664058,6.901399378097166,0.000964999999999
Ga5Rh3,2,-0.597840527187498,240.06286715440052,9.093656577505966,0.0
GaCl3,2,-1.218752760624999,285.1575871875024,2.050733019653462,0.000286299999999
GaCl3,2,-0.101943494374999,285.1576070086687,2.050732877108009,0.000339499999999
Ge2S5,2,-0.281097536071428,774.5652712878835,2.6206650892287757,7.9996708
H2O,2,-0.969825659722222,337.0020340574006,1.065218837129355,0.001962299999999
H2O,2,-1.195102487222222,516.0385561050923,0.6956474677751491,0.001704899999999
HC6,2,0.040110008660713,131.18563940158248,1.849884540770867,0.0134323
HI3,2,-0.1965346303125,533.0691344567247,2.378165131906544,0.0
HI3,2,-0.270035622812499,362.17229417996265,3.500340718582557,0.0
HN,2,-0.040226390104166,313.74934394479067,1.27145553721112,0.002263299999999
HN,2,0.072978779583333,224.13913026763203,1.779779997266136,0.0015363
Hf3Ni7,2,-0.485063570800002,271.7298631576131,11.56595466757286,0.0002674
Hf8Ni21,2,-0.476533707017242,385.6024460935112,11.456963889672284,1.55e-05
ICl3,2,-0.195612978749998,256.8661311901365,3.015914188071446,0.0
ICl3,2,-0.66435476,312.4853440274789,2.479112138530346,0.0007677
IN3,2,0.664478646874999,252.31399293969895,4.446932879551314,0.001661
IO3,2,-0.609341333124999,219.74208980886775,5.286792651153303,0.0
In3Cu7,2,-0.031135998249999,576.147613080268,9.099221120245709,0.0
In3Ni7,2,-0.105779737,545.1862889436354,9.202125105808506,0.000120599999999
K5As4,2,-0.364172379583333,308.4398559610148,2.6658754761280843,0.006154499999999
K5Sb4,2,-0.5202960131944421,367.7105859091382,3.08223440761957,3e-07
KHg,2,-0.261189810625001,296.5296418527992,5.368930855884127,0.0
KP15,2,-0.123338595524552,769.1628545693718,2.174887612492646,0.0
KPu,2,0.629184101000002,512.3192833806963,5.505501769162095,3.145009
La2Sn3,2,-0.843689693999999,604.1435655493351,6.969758559490363,0.0008096
LaO3,2,-1.70441414,144.30830531113193,4.301358054988858,0.004066
LaO3,2,-1.938699392500001,144.30832871979638,4.301357357253334,0.0038628
LaO3,2,-1.42209758625,144.30830531113193,4.301358054988858,0.0008679
LaSe,2,-2.022652615781247,632.4296566648217,2.288154076176761,0.0012113
Mg2Si,2,0.084043795833333,234.42233182822991,2.173101393355966,0.0009023
Mg2Si,2,0.028202669166666,239.40900476654068,2.127837657678936,0.002458799999999
Mg2Si,2,0.064390975833333,239.5265450716038,2.126793486615,0.0011056
Mg2Si,2,0.055699499999999,246.3743694986241,2.067680566636725,0.017012799999999
Mg2Si,2,0.159979048333333,113.8654578541558,2.236953618463356,0.0193388
Mg2Si,2,0.018641527499999,238.61484832492644,2.134919513625528,0.001418899999999
Mg2Si,2,0.035604163333333,236.83719815947924,2.150943770187022,0.000904499999999
Mg2Si,2,0.022219566666666,248.8517612157691,2.047096204748099,0.0028005
Mg2Si,2,0.065318721666666,241.9623512292993,2.105383310013045,0.0010712
Mg2Si,2,0.080217936666666,234.49104344231893,2.172464621468543,0.0027702
