No.,API at 15C,%C4,%C5,%C6,%C7+,MWC7+,SGC7+,rho_g_cc_20C,mu_cP_20C,mu_cP_30C,mu_cP_40C,mu_cP_50C,mu_cP_60C,mu_cP_70C,mu_cP_80C
1,20.4,1.02,2.57,3.37,93.04,326.40,0.94,0.930,200.59,106.07,62.6,40.177,27.268,19.367,14.258
2,20.0,0.04,0.44,1.62,97.90,331.22,0.93,0.933,243.11,131.9,76.875,48.461,32.351,22.637,16.5
3,19.6,0.25,1.57,3.94,94.24,343.10,0.94,0.935,322.46,171.13,96.462,58.975,38.663,26.759,19.225
4,19.5,0.00,0.12,1.16,98.72,295.70,0.94,0.935,312.40,158.25,88.722,54.503,35.498,24.334,17.456
5,18.7,0.08,1.13,2.09,96.70,342.65,0.94,0.941,232.12,126.17,74.171,46.59,30.978,21.568,15.598
6,18.6,0.35,1.62,3.21,94.81,338.41,0.95,0.941,196.73,108.36,64.539,41.088,27.617,19.408,14.192
7,18.0,0.46,1.23,2.06,96.25,353.31,0.95,0.945,319.57,262.18,140.28,81.78,51.562,34.484,24.369
8,18.0,0.35,1.14,1.95,96.56,353.44,0.95,0.945,285.66,151.65,87.573,54.331,35.767,24.71,17.801
9,18.0,1.05,1.53,1.92,95.50,347.26,0.95,0.945,396.52,171.08,97.209,59.809,39.16,26.93,19.336
10,17.9,0.15,1.65,3.72,94.49,357.24,0.95,0.945,516.01,205.44,115.72,70.104,45.172,30.612,21.64
11,17.6,0.18,1.16,2.73,95.93,343.69,0.95,0.947,309.50,162.45,92.869,56.966,37.234,25.471,18.215
12,17.4,0.46,0.49,1.95,97.10,367.35,0.95,0.949,494.24,249.43,137.83,81.972,52.014,34.807,23.512
13,17.1,0.00,0.23,1.19,98.58,345.72,0.95,0.951,891.90,431.67,209.77,118.36,72.911,47.536,32.358
14,16.8,0.17,0.73,2.23,96.87,354.55,0.96,0.952,374.80,192.84,108.31,65.532,42.155,28.601,20.13
15,16.7,0.16,0.96,1.87,97.00,351.13,0.96,0.953,382.14,197.41,110.22,66.462,42.623,28.759,20.242
16,16.4,0.09,0.43,1.21,98.27,372.04,0.96,0.955,521.79,259.03,141.78,83.945,53.008,35.422,24.717
17,16.2,0.00,0.09,0.40,99.51,380.46,0.96,0.956,1320.2,607.26,291.99,159.21,95.079,60.171,40.503
18,16.0,0.09,1.25,1.42,97.23,378.29,0.96,0.958,552.91,272.47,147.95,86.964,54.608,36.261,25.209
19,15.9,0.09,0.34,1.04,98.54,367.17,0.96,0.958,535.47,264.89,143.88,85.346,53.702,35.705,24.913
20,15.8,0.18,0.68,2.00,97.14,335.27,0.96,0.959,541.02,266.69,144.7,84.987,53.336,35.294,24.511
21,14.9,0.15,0.32,1.37,98.16,369.29,0.97,0.965,788.58,375.15,196.19,111.31,68.012,43.975,29.95
22,14.9,0.09,0.39,1.21,98.31,377.01,0.97,0.965,767.13,363.2,191.05,108.93,66.528,46.093,29.308
23,14.8,1.01,1.95,2.62,94.42,412.79,0.97,0.966,1294.6,420.23,217.33,123.11,74.758,48.121,32.683
24,14.8,0.69,1.32,1.91,96.09,361.14,0.97,0.965,895.64,591.89,299.11,165.25,98.236,61.867,41.218
25,14.8,0.11,0.21,0.96,98.72,364.62,0.97,0.966,746.11,353.31,185.22,105.68,64.809,42.081,28.698
26,14.5,0.13,0.25,1.05,98.58,362.00,0.97,0.968,1022.4,430.23,221.74,124.31,74.883,47.925,32.261
27,14.3,0.21,0.18,1.45,98.16,355.03,0.97,0.969,930.79,466.73,238.63,132.32,79.264,50.546,33.914
28,13.4,0.05,0.05,0.39,99.52,384.46,0.98,0.975,1430.6,632.54,312.66,170.03,99.442,62.18,41.074
