Пористость  
70
Модуль Юнга
11,4
Предел упругости
0,324
Деформация предела упругости
0,0285
Предел текучести
0,37
Деформация предела текучести
0,0365
Предел прочности
0,558
Деформация предела прочности
0,081
Распределение
5,8 119
8,7 1422
11,6 918
14,5 689
17,4 604
20,3 563
23,2 560
26,099999999999998 471
29 443
31,9 449
34,8 388
37,699999999999996 426
40,6 379
43,5 390
46,4 359
49,3 352
52,199999999999996 353
55,1 311
58 298
60,9 267
63,8 257
66,7 246
69,6 207
72,5 220
75,39999999999999 222
78,3 220
81,2 200
84,1 201
87 187
89,89999999999999 180
92,8 175
95,7 176
98,6 173
101,5 152
104,39999999999999 134
107,3 146
110,2 135
113,1 111
116 113
118,89999999999999 137
121,8 119
124,7 136
127,6 103
130,5 76
133,4 86
136,29999999999998 81
139,2 72
142,1 87
145 78
147,9 74
150,79999999999998 69
153,7 72
156,6 65
159,5 59
162,4 64
165,29999999999998 61
168,2 51
171,1 53
174 45
176,9 49
179,79999999999998 39
182,7 40
185,6 43
188,5 43
191,4 39
194,29999999999998 45
197,2 27
200,1 27
203 33
205,9 29
208,79999999999998 36
211,7 31
214,6 28
217,5 36
220,4 27
223,29999999999998 29
226,2 23
229,1 31
232 21
234,9 23
237,79999999999998 19
240,7 15
243,6 14
246,5 12
249,4 9
252,29999999999998 19
255,2 13
258,09999999999997 10
261 15
263,9 5
266,8 11
269,7 12
272,59999999999997 4
275,5 8
278,4 6
281,3 10
284,2 9
287,09999999999997 4
290 2
292,9 9
295,8 4
298,7 2
301,59999999999997 4
304,5 1
307,4 7
310,3 6
313,2 6
316,09999999999997 4
319 4
321,9 1
324,8 3
327,7 1
330,59999999999997 1
333,5 2
336,4 1
339,3 1
342,2 0
345,09999999999997 2
348 2
350,9 1
353,8 3
356,7 2
359,59999999999997 0
362,5 0
365,4 3
368,3 3
371,2 4
374,09999999999997 2
377 3
379,9 0
382,8 1
385,7 2
388,59999999999997 0
391,5 2
394,4 0
397,3 1
400,2 0
403,09999999999997 1
406 2
408,9 2
411,8 0
