Пористость
45
Модуль Юнга
48,8
Предел упругости
1,28
Деформация предела упругости
0,028
Предел текучести
1,64
Деформация предела текучести
0,0385
Предел прочности
2,66
Деформация предела прочности
0,137
Распределение
5,8 130
8,7 1750
11,6 1038
14,5 743
17,4 625
20,3 674
23,2 575
26,099999999999998 545
29 517
31,9 571
34,8 578
37,699999999999996 555
40,6 511
43,5 497
46,4 519
49,3 489
52,199999999999996 453
55,1 466
58 398
60,9 408
63,8 377
66,7 388
69,6 353
72,5 347
75,39999999999999 334
78,3 292
81,2 272
84,1 311
87 263
89,89999999999999 305
92,8 257
95,7 304
98,6 242
101,5 234
104,39999999999999 243
107,3 267
110,2 206
113,1 233
116 264
118,89999999999999 245
121,8 223
124,7 206
127,6 213
130,5 190
133,4 168
136,29999999999998 165
139,2 167
142,1 170
145 157
147,9 130
150,79999999999998 144
153,7 138
156,6 135
159,5 120
162,4 131
165,29999999999998 103
168,2 111
171,1 116
174 124
176,9 118
179,79999999999998 104
182,7 95
185,6 102
188,5 100
191,4 87
194,29999999999998 92
197,2 84
200,1 79
203 77
205,9 67
208,79999999999998 62
211,7 68
214,6 69
217,5 69
220,4 62
223,29999999999998 49
226,2 57
229,1 49
232 53
234,9 51
237,79999999999998 58
240,7 40
243,6 46
246,5 48
249,4 41
252,29999999999998 36
255,2 40
258,09999999999997 36
261 40
263,9 40
266,8 25
269,7 30
272,59999999999997 25
275,5 39
278,4 31
281,3 33
284,2 33
287,09999999999997 30
290 25
292,9 14
295,8 23
298,7 16
301,59999999999997 18
304,5 22
307,4 26
310,3 18
313,2 18
316,09999999999997 20
319 9
321,9 16
324,8 17
327,7 13
330,59999999999997 10
333,5 10
336,4 6
339,3 14
342,2 7
345,09999999999997 6
348 9
350,9 9
353,8 11
356,7 9
359,59999999999997 7
362,5 8
365,4 9
368,3 8
371,2 12
374,09999999999997 9
377 9
379,9 10
382,8 7
385,7 6
388,59999999999997 5
391,5 4
394,4 0
397,3 5
400,2 8
403,09999999999997 9
406 1
408,9 4
411,8 2
414,7 2
