Пористость
45
Модуль Юнга
35,8
Предел упругости
0,967
Деформация предела упругости
0,027
Предел текучести
1,24
Деформация предела текучести
0,036
Предел прочности
1,685
Деформация предела прочности
0,655
Распределение
11,6 403
14,5 343
17,4 328
20,3 345
23,2 264
26,099999999999998 245
29 268
31,9 272
34,8 257
37,699999999999996 221
40,6 249
43,5 209
46,4 248
49,3 226
52,199999999999996 200
55,1 185
58 207
60,9 183
63,8 158
66,7 170
69,6 150
72,5 138
75,39999999999999 150
78,3 117
81,2 117
84,1 119
87 109
89,89999999999999 112
92,8 100
95,7 103
98,6 105
101,5 85
104,39999999999999 91
107,3 110
110,2 83
113,1 76
116 76
118,89999999999999 61
121,8 68
124,7 72
127,6 64
130,5 67
133,4 65
136,29999999999998 52
139,2 48
142,1 56
145 38
147,9 48
150,79999999999998 48
153,7 43
156,6 37
159,5 34
162,4 21
165,29999999999998 24
168,2 25
171,1 28
174 25
176,9 22
179,79999999999998 20
182,7 18
185,6 21
188,5 21
191,4 12
194,29999999999998 14
197,2 15
200,1 19
203 10
205,9 16
208,79999999999998 17
211,7 8
214,6 6
217,5 7
220,4 7
223,29999999999998 3
226,2 8
229,1 5
232 9
234,9 5
237,79999999999998 2
240,7 3
243,6 5
246,5 3
249,4 4
252,29999999999998 2
255,2 4
258,09999999999997 4
261 7
263,9 6
266,8 1
269,7 4
272,59999999999997 4
275,5 4
278,4 5
281,3 1
284,2 3
287,09999999999997 1
290 3
292,9 2
295,8 1
298,7 2
301,59999999999997 0
304,5 1
307,4 0
310,3 0
313,2 1
316,09999999999997 2
319 1
321,9 1
324,8 0
327,7 1
330,59999999999997 1
333,5 0
336,4 1
339,3 0
342,2 1
345,09999999999997 0
348 1
350,9 0
353,8 0
356,7 2
359,59999999999997 1
362,5 0
365,4 1
368,3 0
371,2 0
374,09999999999997 0
377 0
379,9 1
382,8 0
385,7 1
388,59999999999997 1
391,5 0
394,4 0
397,3 0
400,2 0
403,09999999999997 0
406 0
408,9 0
411,8 0
414,7 0
417,59999999999997 0
