Пористость  
60
Модуль Юнга
3,25
Предел упругости
0,347
Деформация предела упругости
0,08
Предел текучести
0,384
Деформация предела текучести
0,107
Предел прочности
0,425
Деформация предела прочности
0,16
Распределение
8,7 171
11,6 121
14,5 138
17,4 142
20,3 167
23,2 127
26,099999999999998 105
29 113
31,9 109
34,8 90
37,699999999999996 95
40,6 78
43,5 72
46,4 77
49,3 48
52,199999999999996 77
55,1 47
58 62
60,9 58
63,8 41
66,7 63
69,6 67
72,5 57
75,39999999999999 61
78,3 41
81,2 52
84,1 50
87 59
89,89999999999999 51
92,8 50
95,7 51
98,6 47
101,5 43
104,39999999999999 42
107,3 45
110,2 30
113,1 28
116 39
118,89999999999999 26
121,8 33
124,7 28
127,6 24
130,5 43
133,4 37
136,29999999999998 39
139,2 32
142,1 24
145 34
147,9 30
150,79999999999998 25
153,7 30
156,6 24
159,5 23
162,4 17
165,29999999999998 27
168,2 26
171,1 18
174 13
176,9 12
179,79999999999998 23
182,7 15
185,6 12
188,5 16
191,4 26
194,29999999999998 14
197,2 16
200,1 26
203 12
205,9 10
208,79999999999998 18
211,7 7
214,6 9
217,5 14
220,4 9
223,29999999999998 12
226,2 11
229,1 12
232 8
234,9 14
237,79999999999998 11
240,7 12
243,6 12
246,5 10
249,4 11
252,29999999999998 8
255,2 10
258,09999999999997 8
261 11
263,9 12
266,8 2
269,7 7
272,59999999999997 8
275,5 4
278,4 8
281,3 8
284,2 4
287,09999999999997 8
290 5
292,9 5
295,8 8
298,7 3
301,59999999999997 6
304,5 5
307,4 2
310,3 2
313,2 4
316,09999999999997 4
319 2
321,9 3
324,8 3
327,7 3
330,59999999999997 1
333,5 1
336,4 2
339,3 1
342,2 2
345,09999999999997 5
348 2
350,9 0
353,8 1
356,7 4
359,59999999999997 0
362,5 2
365,4 2
368,3 1
371,2 1
374,09999999999997 0
377 0
379,9 1
382,8 0
385,7 0
388,59999999999997 0
391,5 0
394,4 0
397,3 1
400,2 1
403,09999999999997 1
406 1
408,9 1
411,8 2
414,7 1
417,59999999999997 0
